#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
419,20950,-0.98000002,0.01147086,0.28299016,32
420,21000,-0.98000002,0.01147086,0.28299016,34
421,21050,-0.98000002,0.01147086,0.28299016,30
422,21100,-0.98000002,0.01147086,0.28299016,21
423,21150,-0.98000002,0.01147086,0.28299016,24
424,21200,-0.98000002,0.01147086,0.28299016,35
425,21250,-0.98000002,0.01147086,0.28299016,31
426,21300,-0.98000002,0.01147086,0.28299016,38
427,21350,-0.98000002,0.01147086,0.28299016,36
428,21400,-0.98000002,0.01147086,0.28299016,32
429,21450,-0.98000002,0.01147086,0.28299016,28
430,21500,-0.98000002,0.01147086,0.28299016,34
431,21550,-0.98000002,0.01147086,0.28299016,30
432,21600,-0.98000002,0.01147086,0.28299016,33
433,21650,-0.98000002,0.01147086,0.28299016,26
434,21700,-0.98000002,0.01147086,0.28299016,28
435,21750,-0.98000002,0.01147086,0.28299016,29
436,21800,-0.98000002,0.01147086,0.28299016,33
437,21850,-0.98000002,0.01147086,0.28299016,35
438,21900,-0.98000002,0.01147086,0.28299016,36
439,21950,-0.98000002,0.01147086,0.28299016,35
440,22000,-0.98000002,0.01147086,0.28299016,32
441,22050,-0.98000002,0.01147086,0.28299016,35
442,22100,-0.98000002,0.01147086,0.28299016,32
443,22150,-0.98000002,0.01147086,0.28299016,31
444,22200,-0.98000002,0.01147086,0.28299016,30
445,22250,-0.98000002,0.01147086,0.28299016,31
446,22300,-0.98000002,0.01147086,0.28299016,28
447,22350,-0.98000002,0.01147086,0.28299016,31
448,22400,-0.98000002,0.01147086,0.28299016,31
449,22450,-0.98000002,0.01147086,0.28299016,25
450,22500,-0.98000002,0.01147086,0.28299016,28
451,22550,-0.98000002,0.01147086,0.28299016,26
452,22600,-0.98000002,0.01147086,0.28299016,29
453,22650,-0.98000002,0.01147086,0.28299016,30
454,22700,-0.98000002,0.01147086,0.28299016,30
455,22750,-0.98000002,0.01147086,0.28299016,26
456,22800,-0.98000002,0.01147086,0.28299016,30
457,22850,-0.98000002,0.01147086,0.28299016,32
458,22900,-0.98000002,0.01147086,0.28299016,29
459,22950,-0.98000002,0.01147086,0.28299016,26
460,23000,-0.98000002,0.01147086,0.28299016,23
461,23050,-0.98000002,0.01147086,0.28299016,28
462,23100,-0.98000002,0.01147086,0.28299016,34
463,23150,-0.98000002,0.01147086,0.28299016,36
464,23200,-0.98000002,0.01147086,0.28299016,35
465,23250,-0.98000002,0.01147086,0.28299016,29
466,23300,-0.98000002,0.01147086,0.28299016,27
467,23350,-0.98000002,0.01147086,0.28299016,33
468,23400,-0.98000002,0.01147086,0.28299016,32
469,23450,-0.98000002,0.01147086,0.28299016,27
470,23500,-0.98000002,0.01147086,0.28299016,33
471,23550,-0.98000002,0.01147086,0.28299016,33
472,23600,-0.98000002,0.01147086,0.28299016,35
473,23650,-0.98000002,0.01147086,0.28299016,37
474,23700,-0.98000002,0.01147086,0.28299016,32
475,23750,-0.98000002,0.01147086,0.28299016,26
476,23800,-0.98000002,0.01147086,0.28299016,22
477,23850,-0.98000002,0.01147086,0.28299016,29
478,23900,-0.98000002,0.01147086,0.28299016,25
479,23950,-0.98000002,0.01147086,0.28299016,27
480,24000,-0.98000002,0.01147086,0.28299016,33
481,24050,-0.98000002,0.01147086,0.28299016,29
482,24100,-0.98000002,0.01147086,0.28299016,29
483,24150,-0.98000002,0.01147086,0.28299016,32
484,24200,-0.98000002,0.01147086,0.28299016,29
485,24250,-0.98000002,0.01147086,0.28299016,35
486,24300,-0.98000002,0.01147086,0.28299016,36
487,24350,-0.98000002,0.01147086,0.28299016,33
488,24400,-0.98000002,0.01147086,0.28299016,30
489,24450,-0.98000002,0.01147086,0.28299016,34
490,24500,-0.98000002,0.01147086,0.28299016,31
491,24550,-0.98000002,0.01147086,0.28299016,31
492,24600,-0.98000002,0.01147086,0.28299016,31
493,24650,-0.98000002,0.01147086,0.28299016,37
494,24700,-0.98000002,0.01147086,0.28299016,35
495,24750,-0.98000002,0.01147086,0.28299016,30
496,24800,-0.98000002,0.01147086,0.28299016,36
497,24850,-0.98000002,0.01147086,0.28299016,36
498,24900,-0.98000002,0.01147086,0.28299016,27
499,24950,-0.98000002,0.01147086,0.28299016,32
500,25000,-0.98000002,0.01147086,0.28299016,31
501,25050,-0.98000002,0.01147086,0.28299016,33
502,25100,-0.98000002,0.01147086,0.28299016,35
503,25150,-0.98000002,0.01147086,0.28299016,30
504,25200,-0.98000002,0.01147086,0.28299016,33
505,25250,-0.98000002,0.01147086,0.28299016,27
506,25300,-0.98000002,0.01147086,0.28299016,35
507,25350,-0.98000002,0.01147086,0.28299016,30
508,25400,-0.98000002,0.01147086,0.28299016,34
509,25450,-0.98000002,0.01147086,0.28299016,33
510,25500,-0.98000002,0.01147086,0.28299016,35
511,25550,-0.98000002,0.01147086,0.28299016,28
512,25600,-0.98000002,0.01147086,0.28299016,31
513,25650,-0.98000002,0.01147086,0.28299016,26
514,25700,-0.98000002,0.01147086,0.28299016,33
515,25750,-0.98000002,0.01147086,0.28299016,33
516,25800,-0.98000002,0.01147086,0.28299016,34
517,25850,-0.98000002,0.01147086,0.28299016,30
518,25900,-0.98000002,0.01147086,0.28299016,34
519,25950,-0.98000002,0.01147086,0.28299016,32
520,26000,-0.98000002,0.01147086,0.28299016,28
521,26050,-0.98000002,0.01147086,0.28299016,34
522,26100,-0.98000002,0.01147086,0.28299016,35
523,26150,-0.98000002,0.01147086,0.28299016,39
524,26200,-0.98000002,0.01147086,0.28299016,37
525,26250,-0.98000002,0.01147086,0.28299016,37
526,26300,-0.98000002,0.01147086,0.28299016,38
527,26350,-0.98000002,0.01147086,0.28299016,33
528,26400,-0.98000002,0.01147086,0.28299016,29
529,26450,-0.98000002,0.01147086,0.28299016,31
530,26500,-0.98000002,0.01147086,0.28299016,29
531,26550,-0.98000002,0.01147086,0.28299016,30
532,26600,-0.98000002,0.01147086,0.28299016,32
533,26650,-0.98000002,0.01147086,0.28299016,30
534,26700,-0.98000002,0.01147086,0.28299016,33
535,26750,-0.98000002,0.01147086,0.28299016,30
536,26800,-0.98000002,0.01147086,0.28299016,36
537,26850,-0.98000002,0.01147086,0.28299016,31
538,26900,-0.98000002,0.01147086,0.28299016,30
539,26950,-0.98000002,0.01147086,0.28299016,27
540,27000,-0.98000002,0.01147086,0.28299016,30
541,27050,-0.98000002,0.01147086,0.28299016,31
542,27100,-0.98000002,0.01147086,0.28299016,32
